Año;Trimestre;Provincia;Mbps (Media de bajada);Trimestre proximo
2018;3;Corrientes;11.493228365457123;12.138923393387724
2018;3;Entre Ríos;10.524753506287304;11.023282490376955
2018;3;Formosa;9.318495441068285;9.816893711913803
2018;3;Jujuy;7.669872151814152;8.562737601752614
2018;3;La Pampa;4.283048376167659;4.319094957943483
2018;3;La Rioja;6.156013225626096;7.0933821251548945
2018;3;Mendoza;5.786015677158131;5.746675102434321
2018;3;Misiones;12.487485758721087;12.495112674155788
2018;3;Neuquén;14.674244286624784;15.89123364607043
2018;3;Río Negro;10.06446008106754;10.487005565275494
2018;3;Salta;9.265848177562406;10.45728408913591
2018;3;San Juan;5.738204725877363;5.715266539357845
2018;3;San Luis;8.814987579354126;8.818992791900516
2018;3;Santa Cruz;5.369715716600383;5.1195073647728675
2018;3;Santa Fe;12.357326043488575;13.179234899969483
2018;3;Santiago Del Estero;5.779842512369051;6.309255243851745
2018;3;Tierra Del Fuego;5.98788374717833;7.436562008214025
2018;3;Tucumán;15.255950362488306;16.58323444553027
2018;2;Buenos Aires;14.679375512175804;16.77973513236217
2018;2;Capital Federal;18.93813458927817;21.643368364061413
2018;2;Catamarca;7.693096507452943;7.806521941530631
2018;2;Chaco;12.499460181995785;12.89496189060927
2018;2;Chubut;5.329857730598913;6.076722322942862
2018;2;Córdoba;13.876809406349514;14.8182495375679
2018;2;Corrientes;10.87765289559918;11.493228365457123
2018;2;Entre Ríos;10.186702751759963;10.524753506287304
2018;2;Formosa;8.974986530777175;9.318495441068285
2018;2;Jujuy;6.289345589213642;7.669872151814152
2018;2;La Pampa;4.098364171057469;4.283048376167659
2018;2;La Rioja;5.591861584368082;6.156013225626096
2018;2;Mendoza;5.880529663045039;5.786015677158131
2018;2;Misiones;11.759657402552001;12.487485758721087
2018;2;Neuquén;13.365011560107956;14.674244286624784
2018;2;Río Negro;9.509595114373948;10.06446008106754
2018;2;Salta;8.928271706442677;9.265848177562406
2018;2;San Juan;5.845597830692315;5.738204725877363
2018;2;San Luis;5.9005751848808545;8.814987579354126
2018;2;Santa Cruz;5.1892899508557875;5.369715716600383
2018;2;Santa Fe;11.74888462281756;12.357326043488575
2018;2;Santiago Del Estero;5.9110016469983835;5.779842512369051
2018;2;Tierra Del Fuego;5.942745057375916;5.98788374717833
2018;2;Tucumán;13.506545729627103;15.255950362488306
2018;1;Buenos Aires;14.198889644680946;14.679375512175804
2018;1;Capital Federal;17.74557730418008;18.93813458927817
2018;1;Catamarca;8.198860528714677;7.693096507452943
2018;1;Chaco;12.444064678644967;12.499460181995785
2018;1;Chubut;5.418637938827784;5.329857730598913
2018;1;Córdoba;12.790571217400485;13.876809406349514
2018;1;Corrientes;11.118502865253635;10.87765289559918
2018;1;Entre Ríos;9.875239366998759;10.186702751759963
2018;1;Formosa;11.056815367469506;8.974986530777175
2018;1;Jujuy;6.741185879384532;6.289345589213642
2018;1;La Pampa;3.995131352064104;4.098364171057469
2018;1;La Rioja;5.890820604111634;5.591861584368082
2018;1;Mendoza;5.881626969169374;5.880529663045039
2018;1;Misiones;12.082189465143012;11.759657402552001
2018;1;Neuquén;11.96045995607415;13.365011560107956
2018;1;Río Negro;8.976243194361576;9.509595114373948
2018;1;Salta;9.1894409821995;8.928271706442677
2018;1;San Juan;5.850581035549749;5.845597830692315
2018;1;San Luis;5.89436270457927;5.9005751848808545
2018;1;Santa Cruz;5.1892899508557875;5.1892899508557875
2018;1;Santa Fe;11.173305005746002;11.74888462281756
